Algorithm,Trace File,Page Frames,Total Disk Reads,Total Disk Writes,Page Fault Rate
rand,sixpack.trace,233,17017,5711,0.0170
lru,sixpack.trace,233,12006,4307,0.0120
clock,sixpack.trace,233,12774,4549,0.0128
rand,swim.trace,233,10265,3248,0.0103
lru,swim.trace,233,6065,1978,0.0061
clock,swim.trace,233,6476,2115,0.0065
rand,gcc.trace,234,34442,6123,0.0344
lru,gcc.trace,234,27058,4435,0.0271
clock,gcc.trace,234,28677,4779,0.0287
rand,bzip.trace,234,463,105,0.0005
lru,bzip.trace,234,421,63,0.0004
clock,bzip.trace,234,458,95,0.0005
rand,sixpack.trace,234,16955,5752,0.0170
lru,sixpack.trace,234,11964,4299,0.0120
clock,sixpack.trace,234,12770,4552,0.0128
rand,swim.trace,234,10090,3154,0.0101
lru,swim.trace,234,6047,1975,0.0060
clock,swim.trace,234,6501,2130,0.0065
rand,gcc.trace,235,34333,6086,0.0343
lru,gcc.trace,235,26984,4425,0.0270
clock,gcc.trace,235,28571,4750,0.0286
rand,bzip.trace,235,488,105,0.0005
lru,bzip.trace,235,420,63,0.0004
clock,bzip.trace,235,457,93,0.0005
rand,sixpack.trace,235,17092,5817,0.0171
lru,sixpack.trace,235,11934,4289,0.0119
clock,sixpack.trace,235,12747,4541,0.0127
rand,swim.trace,235,10168,3155,0.0102
lru,swim.trace,235,6028,1967,0.0060
clock,swim.trace,235,6466,2128,0.0065
rand,gcc.trace,236,34246,6076,0.0342
lru,gcc.trace,236,26914,4419,0.0269
clock,gcc.trace,236,28518,4755,0.0285
rand,bzip.trace,236,425,93,0.0004
lru,bzip.trace,236,419,62,0.0004
clock,bzip.trace,236,451,88,0.0005
rand,sixpack.trace,236,16732,5715,0.0167
lru,sixpack.trace,236,11896,4275,0.0119
clock,sixpack.trace,236,12685,4541,0.0127
rand,swim.trace,236,9988,3136,0.0100
lru,swim.trace,236,5999,1958,0.0060
clock,swim.trace,236,6426,2119,0.0064
rand,gcc.trace,237,34022,6040,0.0340
lru,gcc.trace,237,26832,4409,0.0268
clock,gcc.trace,237,28431,4753,0.0284
rand,bzip.trace,237,454,89,0.0005
lru,bzip.trace,237,417,61,0.0004
clock,bzip.trace,237,448,87,0.0004
rand,sixpack.trace,237,17061,5701,0.0171
lru,sixpack.trace,237,11863,4269,0.0119
clock,sixpack.trace,237,12640,4514,0.0126
rand,swim.trace,237,10029,3131,0.0100
lru,swim.trace,237,5981,1953,0.0060
clock,swim.trace,237,6414,2102,0.0064
rand,gcc.trace,238,33741,6018,0.0337
lru,gcc.trace,238,26765,4402,0.0268
clock,gcc.trace,238,28290,4736,0.0283
rand,bzip.trace,238,444,94,0.0004
lru,bzip.trace,238,416,60,0.0004
clock,bzip.trace,238,441,81,0.0004
rand,sixpack.trace,238,16749,5663,0.0167
lru,sixpack.trace,238,11823,4262,0.0118
clock,sixpack.trace,238,12552,4494,0.0126
rand,swim.trace,238,9930,3122,0.0099
lru,swim.trace,238,5971,1952,0.0060
clock,swim.trace,238,6401,2103,0.0064
rand,gcc.trace,239,33887,6067,0.0339
lru,gcc.trace,239,26695,4392,0.0267
clock,gcc.trace,239,28157,4709,0.0282
rand,bzip.trace,239,440,92,0.0004
lru,bzip.trace,239,414,58,0.0004
clock,bzip.trace,239,440,80,0.0004
rand,sixpack.trace,239,16711,5675,0.0167
lru,sixpack.trace,239,11789,4250,0.0118
clock,sixpack.trace,239,12497,4482,0.0125
rand,swim.trace,239,10090,3112,0.0101
lru,swim.trace,239,5950,1947,0.0060
clock,swim.trace,239,6375,2107,0.0064
rand,gcc.trace,240,33630,5993,0.0336
lru,gcc.trace,240,26623,4385,0.0266
clock,gcc.trace,240,28058,4700,0.0281
rand,bzip.trace,240,480,112,0.0005
lru,bzip.trace,240,413,58,0.0004
clock,bzip.trace,240,440,79,0.0004
rand,sixpack.trace,240,16764,5724,0.0168
lru,sixpack.trace,240,11752,4239,0.0118
clock,sixpack.trace,240,12437,4462,0.0124
rand,swim.trace,240,9876,3061,0.0099
lru,swim.trace,240,5938,1944,0.0059
clock,swim.trace,240,6295,2067,0.0063
rand,gcc.trace,241,33621,6042,0.0336
lru,gcc.trace,241,26555,4371,0.0266
clock,gcc.trace,241,27969,4684,0.0280
rand,bzip.trace,241,448,91,0.0004
lru,bzip.trace,241,413,58,0.0004
clock,bzip.trace,241,441,80,0.0004
rand,sixpack.trace,241,16519,5626,0.0165
lru,sixpack.trace,241,11722,4235,0.0117
clock,sixpack.trace,241,12423,4444,0.0124
rand,swim.trace,241,9816,3119,0.0098
lru,swim.trace,241,5914,1937,0.0059
clock,swim.trace,241,6270,2059,0.0063
rand,gcc.trace,242,33355,5930,0.0334
lru,gcc.trace,242,26490,4362,0.0265
clock,gcc.trace,242,27927,4695,0.0279
rand,bzip.trace,242,445,84,0.0004
lru,bzip.trace,242,413,58,0.0004
clock,bzip.trace,242,436,76,0.0004
rand,sixpack.trace,242,16646,5618,0.0166
lru,sixpack.trace,242,11677,4223,0.0117
clock,sixpack.trace,242,12452,4469,0.0125
rand,swim.trace,242,9789,3067,0.0098
lru,swim.trace,242,5900,1936,0.0059
clock,swim.trace,242,6265,2064,0.0063
rand,gcc.trace,243,33624,6061,0.0336
lru,gcc.trace,243,26418,4354,0.0264
clock,gcc.trace,243,27842,4671,0.0278
rand,bzip.trace,243,444,85,0.0004
lru,bzip.trace,243,411,57,0.0004
clock,bzip.trace,243,436,76,0.0004
rand,sixpack.trace,243,16595,5707,0.0166
lru,sixpack.trace,243,11647,4212,0.0116
clock,sixpack.trace,243,12373,4450,0.0124
rand,swim.trace,243,9869,3062,0.0099
lru,swim.trace,243,5881,1930,0.0059
clock,swim.trace,243,6237,2044,0.0062
rand,gcc.trace,244,33215,5935,0.0332
lru,gcc.trace,244,26320,4347,0.0263
clock,gcc.trace,244,27756,4662,0.0278
rand,bzip.trace,244,441,98,0.0004
lru,bzip.trace,244,411,57,0.0004
clock,bzip.trace,244,438,78,0.0004
rand,sixpack.trace,244,16539,5574,0.0165
lru,sixpack.trace,244,11605,4193,0.0116
clock,sixpack.trace,244,12274,4419,0.0123
rand,swim.trace,244,9614,2989,0.0096
lru,swim.trace,244,5870,1929,0.0059
clock,swim.trace,244,6201,2042,0.0062
rand,gcc.trace,245,33099,5821,0.0331
lru,gcc.trace,245,26247,4338,0.0262
clock,gcc.trace,245,27650,4650,0.0277
rand,bzip.trace,245,430,77,0.0004
lru,bzip.trace,245,409,57,0.0004
clock,bzip.trace,245,437,78,0.0004
rand,sixpack.trace,245,16278,5559,0.0163
lru,sixpack.trace,245,11578,4186,0.0116
clock,sixpack.trace,245,12246,4417,0.0122
rand,swim.trace,245,9671,3023,0.0097
lru,swim.trace,245,5855,1924,0.0059
clock,swim.trace,245,6173,2036,0.0062
rand,gcc.trace,246,32982,5934,0.0330
lru,gcc.trace,246,26155,4323,0.0262
clock,gcc.trace,246,27617,4649,0.0276
rand,bzip.trace,246,428,91,0.0004
lru,bzip.trace,246,408,56,0.0004
clock,bzip.trace,246,436,76,0.0004
rand,sixpack.trace,246,16304,5551,0.0163
lru,sixpack.trace,246,11549,4173,0.0115
clock,sixpack.trace,246,12193,4412,0.0122
rand,swim.trace,246,9603,3065,0.0096
lru,swim.trace,246,5839,1920,0.0058
clock,swim.trace,246,6156,2027,0.0062
rand,gcc.trace,247,32902,5952,0.0329
lru,gcc.trace,247,26084,4312,0.0261
clock,gcc.trace,247,27543,4632,0.0275
rand,bzip.trace,247,444,85,0.0004
lru,bzip.trace,247,407,56,0.0004
clock,bzip.trace,247,434,74,0.0004
rand,sixpack.trace,247,16451,5587,0.0165
lru,sixpack.trace,247,11514,4166,0.0115
clock,sixpack.trace,247,12187,4408,0.0122
rand,swim.trace,247,9641,3053,0.0096
lru,swim.trace,247,5822,1915,0.0058
clock,swim.trace,247,6125,2021,0.0061
rand,gcc.trace,248,32694,5880,0.0327
lru,gcc.trace,248,26003,4306,0.0260
clock,gcc.trace,248,27430,4608,0.0274
rand,bzip.trace,248,455,95,0.0005
lru,bzip.trace,248,406,54,0.0004
clock,bzip.trace,248,434,74,0.0004
rand,sixpack.trace,248,16243,5538,0.0162
lru,sixpack.trace,248,11488,4160,0.0115
clock,sixpack.trace,248,12148,4399,0.0121
rand,swim.trace,248,9473,2961,0.0095
lru,swim.trace,248,5808,1911,0.0058
clock,swim.trace,248,6117,2019,0.0061
rand,gcc.trace,249,32836,5851,0.0328
lru,gcc.trace,249,25928,4299,0.0259
clock,gcc.trace,249,27355,4598,0.0274
rand,bzip.trace,249,439,88,0.0004
lru,bzip.trace,249,405,53,0.0004
clock,bzip.trace,249,435,75,0.0004
rand,sixpack.trace,249,15984,5537,0.0160
lru,sixpack.trace,249,11457,4148,0.0115
clock,sixpack.trace,249,12130,4402,0.0121
rand,swim.trace,249,9562,2997,0.0096
lru,swim.trace,249,5795,1908,0.0058
clock,swim.trace,249,6081,2006,0.0061
rand,gcc.trace,250,32376,5781,0.0324
lru,gcc.trace,250,25857,4291,0.0259
clock,gcc.trace,250,27301,4599,0.0273
rand,bzip.trace,250,433,80,0.0004
lru,bzip.trace,250,403,53,0.0004
clock,bzip.trace,250,436,75,0.0004
rand,sixpack.trace,250,16080,5529,0.0161
lru,sixpack.trace,250,11423,4138,0.0114
clock,sixpack.trace,250,12080,4368,0.0121
rand,swim.trace,250,9557,2966,0.0096
lru,swim.trace,250,5777,1903,0.0058
clock,swim.trace,250,6066,1999,0.0061
rand,gcc.trace,251,32534,5801,0.0325
lru,gcc.trace,251,25756,4283,0.0258
clock,gcc.trace,251,27233,4586,0.0272
rand,bzip.trace,251,412,72,0.0004
lru,bzip.trace,251,403,53,0.0004
clock,bzip.trace,251,437,77,0.0004
rand,sixpack.trace,251,16045,5481,0.0160
lru,sixpack.trace,251,11395,4131,0.0114
clock,sixpack.trace,251,12024,4356,0.0120
rand,swim.trace,251,9401,2920,0.0094
lru,swim.trace,251,5757,1899,0.0058
clock,swim.trace,251,6076,2015,0.0061
rand,gcc.trace,252,32504,5839,0.0325
lru,gcc.trace,252,25684,4275,0.0257
clock,gcc.trace,252,27183,4574,0.0272
rand,bzip.trace,252,391,68,0.0004
lru,bzip.trace,252,402,51,0.0004
clock,bzip.trace,252,438,76,0.0004
rand,sixpack.trace,252,16029,5476,0.0160
lru,sixpack.trace,252,11362,4123,0.0114
clock,sixpack.trace,252,11965,4343,0.0120
rand,swim.trace,252,9334,2943,0.0093
lru,swim.trace,252,5742,1893,0.0057
clock,swim.trace,252,6051,2003,0.0061
rand,gcc.trace,253,32272,5798,0.0323
lru,gcc.trace,253,25588,4262,0.0256
clock,gcc.trace,253,27111,4566,0.0271
rand,bzip.trace,253,431,71,0.0004
lru,bzip.trace,253,401,50,0.0004
clock,bzip.trace,253,436,74,0.0004
rand,sixpack.trace,253,16092,5495,0.0161
lru,sixpack.trace,253,11339,4118,0.0113
clock,sixpack.trace,253,11935,4334,0.0119
rand,swim.trace,253,9359,2947,0.0094
lru,swim.trace,253,5730,1888,0.0057
clock,swim.trace,253,6043,2007,0.0060
rand,gcc.trace,254,32118,5781,0.0321
lru,gcc.trace,254,25493,4248,0.0255
clock,gcc.trace,254,27007,4551,0.0270
rand,bzip.trace,254,413,68,0.0004
lru,bzip.trace,254,400,50,0.0004
clock,bzip.trace,254,436,73,0.0004
rand,sixpack.trace,254,15719,5430,0.0157
lru,sixpack.trace,254,11305,4109,0.0113
clock,sixpack.trace,254,11897,4318,0.0119
rand,swim.trace,254,9494,2994,0.0095
lru,swim.trace,254,5705,1878,0.0057
clock,swim.trace,254,6023,2003,0.0060
rand,gcc.trace,255,32046,5720,0.0320
lru,gcc.trace,255,25410,4240,0.0254
clock,gcc.trace,255,26901,4526,0.0269
rand,bzip.trace,255,401,70,0.0004
lru,bzip.trace,255,399,50,0.0004
clock,bzip.trace,255,433,71,0.0004
rand,sixpack.trace,255,15796,5437,0.0158
lru,sixpack.trace,255,11271,4099,0.0113
clock,sixpack.trace,255,11879,4319,0.0119
rand,swim.trace,255,9315,2905,0.0093
lru,swim.trace,255,5694,1872,0.0057
clock,swim.trace,255,5982,1985,0.0060
rand,gcc.trace,256,31906,5802,0.0319
lru,gcc.trace,256,25308,4231,0.0253
clock,gcc.trace,256,26789,4528,0.0268
rand,bzip.trace,256,403,69,0.0004
lru,bzip.trace,256,397,48,0.0004
clock,bzip.trace,256,432,71,0.0004
rand,sixpack.trace,256,15786,5419,0.0158
lru,sixpack.trace,256,11240,4092,0.0112
clock,sixpack.trace,256,11876,4319,0.0119
rand,swim.trace,256,9310,2981,0.0093
lru,swim.trace,256,5673,1866,0.0057
clock,swim.trace,256,5980,1973,0.0060
rand,gcc.trace,257,31911,5779,0.0319
lru,gcc.trace,257,25214,4224,0.0252
clock,gcc.trace,257,26723,4512,0.0267
rand,bzip.trace,257,376,64,0.0004
lru,bzip.trace,257,395,48,0.0004
clock,bzip.trace,257,434,72,0.0004
rand,sixpack.trace,257,15773,5438,0.0158
lru,sixpack.trace,257,11198,4083,0.0112
clock,sixpack.trace,257,11822,4299,0.0118
rand,swim.trace,257,9184,2891,0.0092
lru,swim.trace,257,5661,1864,0.0057
clock,swim.trace,257,5960,1965,0.0060
rand,gcc.trace,258,31910,5759,0.0319
lru,gcc.trace,258,25129,4217,0.0251
clock,gcc.trace,258,26656,4510,0.0267
rand,bzip.trace,258,408,75,0.0004
lru,bzip.trace,258,394,48,0.0004
clock,bzip.trace,258,434,71,0.0004
rand,sixpack.trace,258,15589,5411,0.0156
lru,sixpack.trace,258,11163,4074,0.0112
clock,sixpack.trace,258,11770,4274,0.0118
rand,swim.trace,258,9378,2963,0.0094
lru,swim.trace,258,5648,1857,0.0056
clock,swim.trace,258,5916,1953,0.0059
rand,gcc.trace,259,31704,5677,0.0317
lru,gcc.trace,259,25028,4204,0.0250
clock,gcc.trace,259,26606,4505,0.0266
rand,bzip.trace,259,402,66,0.0004
lru,bzip.trace,259,394,47,0.0004
clock,bzip.trace,259,431,69,0.0004
rand,sixpack.trace,259,15598,5448,0.0156
lru,sixpack.trace,259,11132,4066,0.0111
clock,sixpack.trace,259,11753,4284,0.0118
rand,swim.trace,259,9288,2934,0.0093
lru,swim.trace,259,5635,1852,0.0056
clock,swim.trace,259,5899,1959,0.0059
rand,gcc.trace,260,31591,5733,0.0316
lru,gcc.trace,260,24904,4191,0.0249
clock,gcc.trace,260,26538,4497,0.0265
rand,bzip.trace,260,371,59,0.0004
lru,bzip.trace,260,392,45,0.0004
clock,bzip.trace,260,431,69,0.0004
rand,sixpack.trace,260,15498,5390,0.0155
lru,sixpack.trace,260,11097,4058,0.0111
clock,sixpack.trace,260,11701,4272,0.0117
rand,swim.trace,260,9181,2901,0.0092
lru,swim.trace,260,5621,1848,0.0056
clock,swim.trace,260,5867,1953,0.0059
rand,gcc.trace,261,31687,5738,0.0317
lru,gcc.trace,261,24785,4180,0.0248
clock,gcc.trace,261,26504,4490,0.0265
rand,bzip.trace,261,407,74,0.0004
lru,bzip.trace,261,390,44,0.0004
clock,bzip.trace,261,431,68,0.0004
rand,sixpack.trace,261,15507,5312,0.0155
lru,sixpack.trace,261,11070,4051,0.0111
clock,sixpack.trace,261,11653,4265,0.0117
rand,swim.trace,261,9135,2888,0.0091
lru,swim.trace,261,5610,1842,0.0056
clock,swim.trace,261,5838,1942,0.0058
rand,gcc.trace,262,31223,5623,0.0312
lru,gcc.trace,262,24684,4174,0.0247
clock,gcc.trace,262,26436,4483,0.0264
rand,bzip.trace,262,384,51,0.0004
lru,bzip.trace,262,389,43,0.0004
clock,bzip.trace,262,431,69,0.0004
rand,sixpack.trace,262,15362,5337,0.0154
lru,sixpack.trace,262,11042,4042,0.0110
clock,sixpack.trace,262,11586,4252,0.0116
rand,swim.trace,262,9083,2886,0.0091
lru,swim.trace,262,5593,1837,0.0056
clock,swim.trace,262,5847,1946,0.0058
rand,gcc.trace,263,31136,5618,0.0311
lru,gcc.trace,263,24599,4167,0.0246
clock,gcc.trace,263,26349,4478,0.0263
rand,bzip.trace,263,372,61,0.0004
lru,bzip.trace,263,387,41,0.0004
clock,bzip.trace,263,431,68,0.0004
rand,sixpack.trace,263,15189,5260,0.0152
lru,sixpack.trace,263,11006,4030,0.0110
clock,sixpack.trace,263,11590,4262,0.0116
rand,swim.trace,263,9026,2837,0.0090
lru,swim.trace,263,5581,1834,0.0056
clock,swim.trace,263,5832,1944,0.0058
rand,gcc.trace,264,31056,5605,0.0311
lru,gcc.trace,264,24506,4160,0.0245
clock,gcc.trace,264,26252,4465,0.0263
rand,bzip.trace,264,363,53,0.0004
lru,bzip.trace,264,387,40,0.0004
clock,bzip.trace,264,431,67,0.0004
rand,sixpack.trace,264,15420,5309,0.0154
lru,sixpack.trace,264,10977,4023,0.0110
clock,sixpack.trace,264,11509,4243,0.0115
rand,swim.trace,264,9031,2839,0.0090
lru,swim.trace,264,5568,1831,0.0056
clock,swim.trace,264,5820,1943,0.0058
rand,gcc.trace,265,31015,5659,0.0310
lru,gcc.trace,265,24405,4145,0.0244
clock,gcc.trace,265,26151,4442,0.0262
rand,bzip.trace,265,378,55,0.0004
lru,bzip.trace,265,385,39,0.0004
clock,bzip.trace,265,431,66,0.0004
rand,sixpack.trace,265,15346,5358,0.0153
lru,sixpack.trace,265,10937,4010,0.0109
clock,sixpack.trace,265,11499,4236,0.0115
rand,swim.trace,265,8948,2830,0.0089
lru,swim.trace,265,5557,1829,0.0056
clock,swim.trace,265,5788,1919,0.0058
rand,gcc.trace,266,31171,5637,0.0312
lru,gcc.trace,266,24321,4140,0.0243
clock,gcc.trace,266,26096,4437,0.0261
rand,bzip.trace,266,383,50,0.0004
lru,bzip.trace,266,381,37,0.0004
clock,bzip.trace,266,431,65,0.0004
rand,sixpack.trace,266,15187,5278,0.0152
lru,sixpack.trace,266,10910,3999,0.0109
clock,sixpack.trace,266,11466,4225,0.0115
rand,swim.trace,266,8981,2869,0.0090
lru,swim.trace,266,5538,1823,0.0055
clock,swim.trace,266,5768,1919,0.0058
rand,gcc.trace,267,30675,5563,0.0307
lru,gcc.trace,267,24234,4128,0.0242
clock,gcc.trace,267,25999,4430,0.0260
rand,bzip.trace,267,382,52,0.0004
lru,bzip.trace,267,379,35,0.0004
clock,bzip.trace,267,407,60,0.0004
rand,sixpack.trace,267,15099,5317,0.0151
lru,sixpack.trace,267,10871,3982,0.0109
clock,sixpack.trace,267,11427,4216,0.0114
rand,swim.trace,267,8880,2852,0.0089
lru,swim.trace,267,5519,1817,0.0055
clock,swim.trace,267,5721,1910,0.0057
rand,gcc.trace,268,30855,5590,0.0309
lru,gcc.trace,268,24155,4115,0.0242
clock,gcc.trace,268,25880,4428,0.0259
rand,bzip.trace,268,385,47,0.0004
lru,bzip.trace,268,379,34,0.0004
clock,bzip.trace,268,404,56,0.0004
rand,sixpack.trace,268,15199,5328,0.0152
lru,sixpack.trace,268,10839,3975,0.0108
clock,sixpack.trace,268,11384,4210,0.0114
rand,swim.trace,268,8934,2778,0.0089
lru,swim.trace,268,5508,1814,0.0055
clock,swim.trace,268,5740,1915,0.0057
rand,gcc.trace,269,30715,5545,0.0307
lru,gcc.trace,269,24078,4105,0.0241
clock,gcc.trace,269,25796,4402,0.0258
rand,bzip.trace,269,384,52,0.0004
lru,bzip.trace,269,379,33,0.0004
clock,bzip.trace,269,405,56,0.0004
rand,sixpack.trace,269,15080,5255,0.0151
lru,sixpack.trace,269,10801,3963,0.0108
clock,sixpack.trace,269,11353,4194,0.0114
rand,swim.trace,269,8834,2766,0.0088
lru,swim.trace,269,5489,1809,0.0055
clock,swim.trace,269,5702,1898,0.0057
rand,gcc.trace,270,30572,5598,0.0306
lru,gcc.trace,270,24001,4097,0.0240
clock,gcc.trace,270,25714,4395,0.0257
rand,bzip.trace,270,382,49,0.0004
lru,bzip.trace,270,379,32,0.0004
clock,bzip.trace,270,397,53,0.0004
rand,sixpack.trace,270,15077,5256,0.0151
lru,sixpack.trace,270,10751,3949,0.0108
clock,sixpack.trace,270,11313,4180,0.0113
rand,swim.trace,270,8937,2824,0.0089
lru,swim.trace,270,5471,1803,0.0055
clock,swim.trace,270,5677,1890,0.0057
rand,gcc.trace,271,30485,5530,0.0305
lru,gcc.trace,271,23940,4088,0.0239
clock,gcc.trace,271,25684,4393,0.0257
rand,bzip.trace,271,389,59,0.0004
lru,bzip.trace,271,378,31,0.0004
clock,bzip.trace,271,396,52,0.0004
rand,sixpack.trace,271,14890,5302,0.0149
lru,sixpack.trace,271,10706,3941,0.0107
clock,sixpack.trace,271,11250,4162,0.0112
rand,swim.trace,271,8762,2824,0.0088
lru,swim.trace,271,5461,1800,0.0055
clock,swim.trace,271,5665,1883,0.0057
rand,gcc.trace,272,30406,5525,0.0304
lru,gcc.trace,272,23877,4079,0.0239
clock,gcc.trace,272,25627,4376,0.0256
rand,bzip.trace,272,369,50,0.0004
lru,bzip.trace,272,375,30,0.0004
clock,bzip.trace,272,395,50,0.0004
rand,sixpack.trace,272,14953,5252,0.0150
lru,sixpack.trace,272,10668,3934,0.0107
clock,sixpack.trace,272,11249,4167,0.0112
rand,swim.trace,272,8796,2886,0.0088
lru,swim.trace,272,5453,1797,0.0055
clock,swim.trace,272,5641,1879,0.0056
rand,gcc.trace,273,30251,5544,0.0303
lru,gcc.trace,273,23816,4068,0.0238
clock,gcc.trace,273,25561,4370,0.0256
rand,bzip.trace,273,345,41,0.0003
lru,bzip.trace,273,373,28,0.0004
clock,bzip.trace,273,391,48,0.0004
rand,sixpack.trace,273,14846,5216,0.0148
lru,sixpack.trace,273,10618,3918,0.0106
clock,sixpack.trace,273,11190,4161,0.0112
rand,swim.trace,273,8703,2767,0.0087
lru,swim.trace,273,5440,1793,0.0054
clock,swim.trace,273,5623,1868,0.0056
rand,gcc.trace,274,30320,5541,0.0303
lru,gcc.trace,274,23748,4057,0.0237
clock,gcc.trace,274,25475,4346,0.0255
rand,bzip.trace,274,368,41,0.0004
lru,bzip.trace,274,371,27,0.0004
clock,bzip.trace,274,387,45,0.0004
rand,sixpack.trace,274,14853,5210,0.0149
lru,sixpack.trace,274,10590,3912,0.0106
clock,sixpack.trace,274,11116,4132,0.0111
rand,swim.trace,274,8796,2775,0.0088
lru,swim.trace,274,5429,1789,0.0054
clock,swim.trace,274,5593,1866,0.0056
rand,gcc.trace,275,30286,5512,0.0303
lru,gcc.trace,275,23692,4041,0.0237
clock,gcc.trace,275,25430,4357,0.0254
rand,bzip.trace,275,363,41,0.0004
lru,bzip.trace,275,370,26,0.0004
clock,bzip.trace,275,384,44,0.0004
rand,sixpack.trace,275,14814,5177,0.0148
lru,sixpack.trace,275,10548,3898,0.0105
clock,sixpack.trace,275,11096,4119,0.0111
rand,swim.trace,275,8730,2813,0.0087
lru,swim.trace,275,5421,1787,0.0054
clock,swim.trace,275,5593,1867,0.0056
rand,gcc.trace,276,30047,5523,0.0300
lru,gcc.trace,276,23630,4032,0.0236
clock,gcc.trace,276,25394,4351,0.0254
rand,bzip.trace,276,378,46,0.0004
lru,bzip.trace,276,370,25,0.0004
clock,bzip.trace,276,367,42,0.0004
rand,sixpack.trace,276,14774,5156,0.0148
lru,sixpack.trace,276,10505,3887,0.0105
clock,sixpack.trace,276,11037,4127,0.0110
rand,swim.trace,276,8817,2803,0.0088
lru,swim.trace,276,5413,1786,0.0054
clock,swim.trace,276,5584,1869,0.0056
rand,gcc.trace,277,29983,5526,0.0300
lru,gcc.trace,277,23568,4024,0.0236
clock,gcc.trace,277,25352,4348,0.0254
rand,bzip.trace,277,359,39,0.0004
lru,bzip.trace,277,368,24,0.0004
clock,bzip.trace,277,355,36,0.0004
rand,sixpack.trace,277,14777,5257,0.0148
lru,sixpack.trace,277,10459,3878,0.0105
clock,sixpack.trace,277,11030,4117,0.0110
rand,swim.trace,277,8692,2768,0.0087
lru,swim.trace,277,5400,1782,0.0054
clock,swim.trace,277,5578,1861,0.0056
rand,gcc.trace,278,29801,5435,0.0298
lru,gcc.trace,278,23501,4003,0.0235
clock,gcc.trace,278,25372,4369,0.0254
rand,bzip.trace,278,354,25,0.0004
lru,bzip.trace,278,367,23,0.0004
clock,bzip.trace,278,352,36,0.0004
rand,sixpack.trace,278,14717,5153,0.0147
lru,sixpack.trace,278,10423,3872,0.0104
clock,sixpack.trace,278,10969,4099,0.0110
rand,swim.trace,278,8625,2721,0.0086
lru,swim.trace,278,5385,1777,0.0054
clock,swim.trace,278,5546,1850,0.0055
rand,gcc.trace,279,29591,5392,0.0296
lru,gcc.trace,279,23436,3994,0.0234
clock,gcc.trace,279,25317,4365,0.0253
rand,bzip.trace,279,352,33,0.0004
lru,bzip.trace,279,365,22,0.0004
clock,bzip.trace,279,342,31,0.0003
rand,sixpack.trace,279,14698,5161,0.0147
lru,sixpack.trace,279,10383,3858,0.0104
clock,sixpack.trace,279,10920,4092,0.0109
rand,swim.trace,279,8629,2742,0.0086
lru,swim.trace,279,5378,1777,0.0054
clock,swim.trace,279,5534,1845,0.0055
rand,gcc.trace,280,29488,5489,0.0295
lru,gcc.trace,280,23372,3986,0.0234
clock,gcc.trace,280,25274,4359,0.0253
rand,bzip.trace,280,368,45,0.0004
lru,bzip.trace,280,362,21,0.0004
clock,bzip.trace,280,338,28,0.0003
rand,sixpack.trace,280,14646,5104,0.0146
lru,sixpack.trace,280,10337,3844,0.0103
clock,sixpack.trace,280,10914,4083,0.0109
rand,swim.trace,280,8541,2704,0.0085
lru,swim.trace,280,5365,1774,0.0054
clock,swim.trace,280,5534,1837,0.0055
rand,gcc.trace,281,29552,5413,0.0296
lru,gcc.trace,281,23306,3978,0.0233
clock,gcc.trace,281,25192,4344,0.0252
rand,bzip.trace,281,342,25,0.0003
lru,bzip.trace,281,355,18,0.0004
clock,bzip.trace,281,332,24,0.0003
rand,sixpack.trace,281,14465,5054,0.0145
lru,sixpack.trace,281,10292,3826,0.0103
clock,sixpack.trace,281,10878,4056,0.0109
rand,swim.trace,281,8455,2747,0.0085
lru,swim.trace,281,5352,1771,0.0054
clock,swim.trace,281,5519,1825,0.0055
rand,gcc.trace,282,29477,5393,0.0295
lru,gcc.trace,282,23241,3966,0.0232
clock,gcc.trace,282,25135,4315,0.0251
rand,bzip.trace,282,354,33,0.0004
lru,bzip.trace,282,332,17,0.0003
clock,bzip.trace,282,325,23,0.0003
rand,sixpack.trace,282,14596,5115,0.0146
lru,sixpack.trace,282,10249,3815,0.0102
clock,sixpack.trace,282,10827,4062,0.0108
rand,swim.trace,282,8499,2742,0.0085
lru,swim.trace,282,5342,1766,0.0053
clock,swim.trace,282,5494,1822,0.0055
rand,gcc.trace,283,29450,5357,0.0295
lru,gcc.trace,283,23188,3963,0.0232
clock,gcc.trace,283,25098,4305,0.0251
rand,bzip.trace,283,337,29,0.0003
lru,bzip.trace,283,323,16,0.0003
clock,bzip.trace,283,324,24,0.0003
rand,sixpack.trace,283,14332,5066,0.0143
lru,sixpack.trace,283,10219,3804,0.0102
clock,sixpack.trace,283,10827,4045,0.0108
rand,swim.trace,283,8369,2687,0.0084
lru,swim.trace,283,5328,1761,0.0053
clock,swim.trace,283,5465,1821,0.0055
rand,gcc.trace,284,29445,5424,0.0294
lru,gcc.trace,284,23131,3954,0.0231
clock,gcc.trace,284,25032,4303,0.0250
rand,bzip.trace,284,334,25,0.0003
lru,bzip.trace,284,322,15,0.0003
clock,bzip.trace,284,321,21,0.0003
rand,sixpack.trace,284,14359,5074,0.0144
lru,sixpack.trace,284,10176,3794,0.0102
clock,sixpack.trace,284,10781,4040,0.0108
rand,swim.trace,284,8580,2721,0.0086
lru,swim.trace,284,5316,1758,0.0053
clock,swim.trace,284,5477,1823,0.0055
rand,gcc.trace,285,29242,5382,0.0292
lru,gcc.trace,285,23064,3948,0.0231
